id,year,area_title,industry_title,industry_emplvl,total_emplvl,industry_emp_pct,industry_emp_pct_us,region
Alabama 11,1990,Alabama,"Agriculture, forestry, fishing and hunting",15475,1598793,0.009679176728944899,0.010081339957142024,South
Alabama 21,1990,Alabama,"Mining, quarrying, and oil and gas extraction",11855,1598793,0.007414968666988159,0.006107069487153181,South
Alabama 22,1990,Alabama,Utilities,25025,1598793,0.015652432803996516,0.009209375380671842,South
Alabama 23,1990,Alabama,Construction,84135,1598793,0.05262407328528459,0.049639363954906875,South
Alabama 31-33,1990,Alabama,Manufacturing,365111,1598793,0.22836664909090795,0.1650793442794685,South
Alabama 42,1990,Alabama,Wholesale trade,70324,1598793,0.04398568169863141,0.04771221009260455,South
Alabama 44-45,1990,Alabama,Retail trade,203169,1598793,0.12707648832588084,0.1242573250465966,South
Alabama 48-49,1990,Alabama,Transportation and warehousing,47285,1598793,0.029575435969509498,0.039290996768313484,South
Alabama 51,1990,Alabama,Information,32373,1598793,0.020248399886664502,0.0267274287463636,South
Alabama 52,1990,Alabama,Finance and insurance,58541,1598793,0.03661574700414625,0.04705542834509937,South
Alabama 53,1990,Alabama,Real estate and rental and leasing,20483,1598793,0.012811539705265159,0.01649028834858472,South
Alabama 54,1990,Alabama,Professional and technical services,60901,1598793,0.03809186054730037,0.0459936778766959,South
Alabama 55,1990,Alabama,Management of companies and enterprises,7256,1598793,0.00453842367335859,0.009481056257873937,South
Alabama 56,1990,Alabama,Administrative and waste services,49998,1598793,0.031272341072296414,0.042692472313767764,South
Alabama 61,1990,Alabama,Educational services,131715,1598793,0.08238402344768835,0.07824756674351452,South
Alabama 62,1990,Alabama,Health care and social assistance,154216,1598793,0.09645776532671835,0.10168415696401845,South
Alabama 71,1990,Alabama,"Arts, entertainment, and recreation",17594,1598793,0.011004551558582005,0.015898206127530793,South
Alabama 72,1990,Alabama,Accommodation and food services,91519,1598793,0.057242557354204075,0.0732416793262012,South
Alabama 81,1990,Alabama,"Other services, except public administration",43832,1598793,0.027415681704886122,0.032391858003697725,South
Alabama 92,1990,Alabama,Public administration,107986,1598793,0.06754220214874596,0.05871915597979498,South
Alaska 11,1990,Alaska,"Agriculture, forestry, fishing and hunting",2837,231661,0.012246342716296658,0.010081339957142024,West
Alaska 21,1990,Alaska,"Mining, quarrying, and oil and gas extraction",11675,231661,0.050396916183561326,0.006107069487153181,West
Alaska 22,1990,Alaska,Utilities,1378,231661,0.005948346937982655,0.009209375380671842,West
Alaska 23,1990,Alaska,Construction,9802,231661,0.04231182633244267,0.049639363954906875,West
Alaska 31-33,1990,Alaska,Manufacturing,14008,231661,0.06046766611557405,0.1650793442794685,West
Alaska 42,1990,Alaska,Wholesale trade,5563,231661,0.024013537021768876,0.04771221009260455,West
Alaska 44-45,1990,Alaska,Retail trade,27322,231661,0.11793957550040793,0.1242573250465966,West
Alaska 48-49,1990,Alaska,Transportation and warehousing,18098,231661,0.07812277422613215,0.039290996768313484,West
Alaska 51,1990,Alaska,Information,5191,231661,0.022407742347654545,0.0267274287463636,West
Alaska 52,1990,Alaska,Finance and insurance,7168,231661,0.03094176404314926,0.04705542834509937,West
Alaska 53,1990,Alaska,Real estate and rental and leasing,3913,231661,0.01689106064464886,0.01649028834858472,West
Alaska 54,1990,Alaska,Professional and technical services,8846,231661,0.03818510668606283,0.0459936778766959,West
Alaska 55,1990,Alaska,Management of companies and enterprises,1225,231661,0.00528789912846789,0.009481056257873937,West
Alaska 56,1990,Alaska,Administrative and waste services,9121,231661,0.039372186082249495,0.042692472313767764,West
Alaska 61,1990,Alaska,Educational services,22829,231661,0.09854485649289263,0.07824756674351452,West
